request_id,subject_id,pdate,user_id,click_time,menu_id,menu_name,shunt_name,subject_name
476b0320-0bd2-4895-af2d-a95dd76db266,20220124150817_d66aa5b7e58c2b8233024123212401b3,2022-11-07,20221013170059_386111e5cf6d946d015f0253ed0afe55,2022-11-07 07:46:32,20220324135712_e682715c7e407613d077bba5bbd4dd15,干锅花菜,B,川渝风味
e144dba9-1b50-47bd-8283-2f2e025f06e0,20220124150817_d66aa5b7e58c2b8233024123212401b3,2022-11-07,20220818152838_36a8a5bc71c0e2110d9a90ee4fa732cc,2022-11-07 18:40:15,20211130112717_ba5e934383b3cfe3201f9a1c1dc8531f,回锅肉,B,川渝风味
a9b1bd3c-668a-424d-a240-f9e428992911,20220124150817_d66aa5b7e58c2b8233024123212401b3,2022-11-07,20221107145633_166d727daa0a0335d4b45ad0f1bdf7ea,2022-11-07 20:30:55,20211124183318_aa38f2a924e8f70eeaaac14364259bb3,鱼香茄子,A,川渝风味
05171225-75be-4652-b4f5-8bae6c2f23e7,20220124150817_d66aa5b7e58c2b8233024123212401b3,2022-11-07,20221102181324_2e716d14783181e7ce02aa655bcf6736,2022-11-07 16:32:55,20211115122950_4ce4a06a2546c696efe6c7d263f118bd,虎皮青椒,B,川渝风味
a7752962-e2b2-4165-895c-8f0b10c2ff50,20220124150817_d66aa5b7e58c2b8233024123212401b3,2022-11-07,20221106230911_25dcf7cbc0bc387a27bb8c8832ae6a51,2022-11-07 11:27:21,20211203100748_9bf9250b6e803a84195c66bfeadfd1f8,鱼香肉丝,B,川渝风味
8b0d4887-e60f-4a21-a42e-208a943e4d29,20220124150817_d66aa5b7e58c2b8233024123212401b3,2022-11-07,20221106122720_6aceb8166eef9c17c5ba006b6c230b52,2022-11-07 09:16:59,20211203100748_9bf9250b6e803a84195c66bfeadfd1f8,鱼香肉丝,B,川渝风味
a6658402-eafa-46bf-a370-6cb59cbcee39,20220124150817_d66aa5b7e58c2b8233024123212401b3,2022-11-07,20221104202726_cdf5fa76f87e2f750799e028b609d5aa,2022-11-07 16:12:46,20220324135712_e682715c7e407613d077bba5bbd4dd15,干锅花菜,B,川渝风味
a6658402-eafa-46bf-a370-6cb59cbcee39,20220124150817_d66aa5b7e58c2b8233024123212401b3,2022-11-07,20221104202726_cdf5fa76f87e2f750799e028b609d5aa,2022-11-07 16:13:45,20211130112717_ba5e934383b3cfe3201f9a1c1dc8531f,回锅肉,B,川渝风味
a6658402-eafa-46bf-a370-6cb59cbcee39,20220124150817_d66aa5b7e58c2b8233024123212401b3,2022-11-07,20221104202726_cdf5fa76f87e2f750799e028b609d5aa,2022-11-07 16:12:50,20211130112717_ba5e934383b3cfe3201f9a1c1dc8531f,回锅肉,B,川渝风味
db970de0-d6fb-49d8-b9e9-e19dd1cf783a,20220124150817_d66aa5b7e58c2b8233024123212401b3,2022-11-07,20221011133552_5060857995493c83d1b604faa31a8904,2022-11-07 15:38:51,20211115122950_4ce4a06a2546c696efe6c7d263f118bd,虎皮青椒,B,川渝风味
a2341f48-3ff6-4cb0-9a3f-fef9cc775d3d,20220124150817_d66aa5b7e58c2b8233024123212401b3,2022-11-07,20221107133822_19da4caae03a1b13428bd2524b0e2df1,2022-11-07 17:15:44,20211201154729_7b5ec0223ee7fa600667e2d1cdb3df04,麻婆豆腐,A,川渝风味
fa8410fd-8d00-43cd-baaa-29c98bac8523,20220124150817_d66aa5b7e58c2b8233024123212401b3,2022-11-07,20221106143716_6ba219e32f72b9b42373e25e248d0445,2022-11-07 08:02:37,20211124183320_0d3b5c32439446848c1afb3fb8c6cd1e,干锅包菜,A,川渝风味
9fee127a-9c59-4a31-b8dc-892dbbe60a92,20220124150817_d66aa5b7e58c2b8233024123212401b3,2022-11-07,20221104085214_c8a5b043f52d78a388dacd10989349ce,2022-11-07 19:09:08,20211130112717_ba5e934383b3cfe3201f9a1c1dc8531f,回锅肉,B,川渝风味
9fe8ca81-4050-496e-9c2a-a0dbd5821462,20220124150817_d66aa5b7e58c2b8233024123212401b3,2022-11-07,20221107123217_f41e234ca7d904879a9563c85eeeae47,2022-11-07 12:40:32,20211203100748_9bf9250b6e803a84195c66bfeadfd1f8,鱼香肉丝,B,川渝风味
48e4b7c9-cb7f-42f3-b716-19b0585b5651,20220124150817_d66aa5b7e58c2b8233024123212401b3,2022-11-07,20221106153152_5588a7a47f8799841a9497f6344dadfb,2022-11-07 08:31:31,20220324135712_e682715c7e407613d077bba5bbd4dd15,干锅花菜,B,川渝风味
938391ff-3312-4375-b612-7dd89ee3605f,20220124150817_d66aa5b7e58c2b8233024123212401b3,2022-11-07,20220806235113_2a40dddb193ca48b017f1bc60ed44527,2022-11-07 17:33:36,20211129142724_7ae493c779d9189ee2c99e3b1c6ffbe7,水煮肉片,B,川渝风味
99ec8c84-35a0-4e0e-a601-9fcb9825451d,20220124150817_d66aa5b7e58c2b8233024123212401b3,2022-11-07,20220913161107_cf62014f95cc709aa99d3a650c09cabb,2022-11-07 08:51:48,20211124183320_0d3b5c32439446848c1afb3fb8c6cd1e,干锅包菜,B,川渝风味
938391ff-3312-4375-b612-7dd89ee3605f,20220124150817_d66aa5b7e58c2b8233024123212401b3,2022-11-07,20220806235113_2a40dddb193ca48b017f1bc60ed44527,2022-11-07 17:34:01,20211215095058_85c542c44bcb8d9075358f594f71b4b9,金汤肥牛,B,川渝风味
940aba3e-bdcd-46ca-8e38-0f417e4ef832,20220124150817_d66aa5b7e58c2b8233024123212401b3,2022-11-07,20210811193833_7cd459631cbd87bfa0e0eb4b1f161a25,2022-11-07 14:44:43,20211124183320_0d3b5c32439446848c1afb3fb8c6cd1e,干锅包菜,B,川渝风味
5bcf339a-f8ba-4786-8794-eaac6014274a,20220124150817_d66aa5b7e58c2b8233024123212401b3,2022-11-07,20221107191839_5cdb2330ed2a500bee7542e268ba7122,2022-11-07 19:54:40,20211130112717_ba5e934383b3cfe3201f9a1c1dc8531f,回锅肉,B,川渝风味
10f87349-9384-4508-adc4-31208ea8409d,20220124150817_d66aa5b7e58c2b8233024123212401b3,2022-11-07,20221104141825_dc4ffbef876d942d3f1725e8bc84abe3,2022-11-07 10:16:02,20220324135712_e682715c7e407613d077bba5bbd4dd15,干锅花菜,B,川渝风味
