pdate,shunt_name,user_id,menu_id
2022-10-28,B,20220605141700_73b62924148c8a01a5b077ebad9fadc7,1
2022-10-28,B,20220605163032_911572698d323b108bc5bd9049c4323f,3
2022-10-28,B,20220702234510_b9da994ef10c7ea7632a9c451541b96f,1
2022-10-28,B,20220708213653_2aade47ec1efd2fb78cfbd108cb9ef69,1
2022-10-28,B,20220710150444_d3d99985aa057491f47a733709012610,1
2022-10-28,B,20220812154528_6acc2612f9b0709639a5dd5f835b2cfb,2
2022-10-28,B,20220818200433_d0ddfadecfa543ea0a5d8d4bbd65a440,1
2022-10-28,B,20220830093534_08b28751ef5e3c45c7efaa750b9c2a2c,1
2022-10-28,B,20220830220839_d54298ba448a8ab7087e7319fcc22193,1
2022-10-28,B,20220830221405_eda0424648a0895a8c336c2c0f10d589,2
2022-10-28,B,20220904190137_fd91986ae9e7119431781ad1806d09e3,1
2022-10-28,B,20220904201312_8e01aec8cb673e877828958b57f45cdd,1
2022-10-28,B,20220906142614_af3374fba9236812f08371e5d1283187,1
2022-10-28,B,20220910133031_d1273a5f5b066ae226fb6374bbf55bf2,1
2022-10-28,B,20220911105512_24b0c5293808cb12cecf81887b8b383e,1
2022-10-28,B,20220916200801_e04afcfbe989c85137eee4b1566aa207,1
2022-10-28,B,20220919101645_1d38415d00360b962f8c5abe71f13943,1
2022-10-28,B,20220927143643_b2e9b5227189c647d3558897d2a50bee,2
2022-10-28,B,20221001201444_e837d1553d26ae39bc189c06553fa91a,3
2022-10-28,B,20221005091639_4ce3a4bc218667afccb394c914ee8f71,1
2022-10-28,B,20221006091838_d48d5fbe92127f0ee68e58345cec28af,1
2022-10-28,B,20221010105601_b73279fc012539aa44b8bf452a6d14b0,4
2022-10-28,B,20221010194806_2de212fb6810f8fb73938cb55907636d,6
2022-10-28,B,20221014160245_d330b52f8cd37412298d47151c223752,3
2022-10-28,B,20221015141203_c97f28420e0ff2754fe906bd5f50c1f3,1
2022-10-28,B,20221024143326_13802f04efd4a8b76cb9fe373626c9d7,2
2022-10-28,B,20221024194133_7e2697a9845cf28a9de5c149b50b3064,2
2022-10-28,B,20221025132737_eb883f7f7a342bdc2890d342d4cb2b4f,1
2022-10-28,B,20221025154203_86420a70a6e822fbad7d293e8f247c03,1
2022-10-28,B,20221026111911_87a8bf7c8cbf9196a60d46ad226f6c46,2
2022-10-28,B,20221028150921_31824a84665b221b771f41a3546f8e34,3
2022-10-28,B,20221028194823_b10d26c98d93e455612286ed3e21533d,1
2022-10-29,A,20211228160800_8b83016e120f4f8879bd70fcd75ce5d3,1
2022-10-29,A,20220220222114_2e99a3b4f202598b13168bd6733d6646,1
2022-10-29,A,20220307153032_ce2489b5da90d1fdf7364b796f1d7df2,1
2022-10-29,A,20220310175600_59d88897fdc137b64762b6910589274e,1
