pdate,c_num,A,B,n_day,A_rate,B_rate
2022-11-03,1,53.0,43.0,3,0.7794117647058824,0.7166666666666667
2022-11-03,2,13.0,16.0,3,0.19117647058823528,0.26666666666666666
2022-11-03,3,2.0,1.0,3,0.029411764705882353,0.016666666666666666
2022-11-04,1,57.0,47.0,3,0.6951219512195121,0.8245614035087719
2022-11-04,2,20.0,8.0,3,0.24390243902439024,0.14035087719298245
2022-11-04,3,5.0,2.0,3,0.06097560975609756,0.03508771929824561
2022-11-05,1,63.0,59.0,3,0.7590361445783133,0.7972972972972973
2022-11-05,2,19.0,15.0,3,0.2289156626506024,0.20270270270270271
2022-11-05,3,1.0,0.0,3,0.012048192771084338,0.0
2022-11-06,1,43.0,46.0,3,0.6417910447761194,0.6666666666666666
2022-11-06,2,22.0,20.0,3,0.3283582089552239,0.2898550724637681
2022-11-06,3,2.0,3.0,3,0.029850746268656716,0.043478260869565216
2022-11-07,1,53.0,41.0,3,0.7162162162162162,0.7068965517241379
2022-11-07,2,18.0,15.0,3,0.24324324324324326,0.25862068965517243
2022-11-07,3,3.0,2.0,3,0.04054054054054054,0.034482758620689655
2022-10-27,1,23.0,38.0,4,0.71875,0.6551724137931034
2022-10-27,2,6.0,12.0,4,0.1875,0.20689655172413793
2022-10-27,3,2.0,6.0,4,0.0625,0.10344827586206896
2022-10-27,4,1.0,2.0,4,0.03125,0.034482758620689655
2022-10-28,1,26.0,28.0,4,0.7647058823529411,0.6222222222222222
2022-10-28,2,7.0,9.0,4,0.20588235294117646,0.2
2022-10-28,3,1.0,7.0,4,0.029411764705882353,0.15555555555555556
2022-10-28,4,0.0,1.0,4,0.0,0.022222222222222223
2022-10-29,1,38.0,27.0,4,0.9047619047619048,0.6136363636363636
2022-10-29,2,4.0,12.0,4,0.09523809523809523,0.2727272727272727
2022-10-29,3,0.0,2.0,4,0.0,0.045454545454545456
2022-10-29,4,0.0,3.0,4,0.0,0.06818181818181818
2022-10-30,1,25.0,33.0,4,0.7142857142857143,0.7021276595744681
2022-10-30,2,8.0,11.0,4,0.22857142857142856,0.23404255319148937
2022-10-30,3,2.0,2.0,4,0.05714285714285714,0.0425531914893617
2022-10-30,4,0.0,1.0,4,0.0,0.02127659574468085
2022-10-31,1,22.0,26.0,4,0.6875,0.7878787878787878
2022-10-31,2,8.0,5.0,4,0.25,0.15151515151515152
2022-10-31,3,2.0,2.0,4,0.0625,0.06060606060606061
2022-11-01,1,39.0,29.0,4,0.7647058823529411,0.7435897435897436
2022-11-01,2,8.0,9.0,4,0.1568627450980392,0.23076923076923078
2022-11-01,3,2.0,1.0,4,0.0392156862745098,0.02564102564102564
2022-11-01,4,2.0,0.0,4,0.0392156862745098,0.0
2022-11-02,1,42.0,39.0,4,0.7924528301886793,0.8297872340425532
2022-11-02,2,5.0,7.0,4,0.09433962264150944,0.14893617021276595
2022-11-02,3,4.0,1.0,4,0.07547169811320754,0.02127659574468085
2022-11-02,4,2.0,0.0,4,0.03773584905660377,0.0
2022-11-03,1,51.0,41.0,4,0.75,0.6833333333333333
2022-11-03,2,15.0,18.0,4,0.22058823529411764,0.3
2022-11-03,3,2.0,1.0,4,0.029411764705882353,0.016666666666666666
2022-11-04,1,55.0,43.0,4,0.6707317073170732,0.7543859649122807
2022-11-04,2,19.0,9.0,4,0.23170731707317074,0.15789473684210525
2022-11-04,3,7.0,5.0,4,0.08536585365853659,0.08771929824561403
2022-11-04,4,1.0,0.0,4,0.012195121951219513,0.0
2022-11-05,1,61.0,56.0,4,0.7349397590361446,0.7567567567567568
2022-11-05,2,20.0,16.0,4,0.24096385542168675,0.21621621621621623
2022-11-05,3,1.0,2.0,4,0.012048192771084338,0.02702702702702703
2022-11-05,4,1.0,0.0,4,0.012048192771084338,0.0
2022-11-06,1,41.0,37.0,4,0.6119402985074627,0.5362318840579711
2022-11-06,2,20.0,24.0,4,0.29850746268656714,0.34782608695652173
2022-11-06,3,6.0,8.0,4,0.08955223880597014,0.11594202898550725
2022-11-07,1,48.0,40.0,4,0.6486486486486487,0.6896551724137931
2022-11-07,2,20.0,14.0,4,0.2702702702702703,0.2413793103448276
2022-11-07,3,5.0,4.0,4,0.06756756756756757,0.06896551724137931
2022-11-07,4,1.0,0.0,4,0.013513513513513514,0.0
2022-10-27,1,22.0,36.0,5,0.6875,0.6206896551724138
2022-10-27,2,6.0,14.0,5,0.1875,0.2413793103448276
2022-10-27,3,3.0,5.0,5,0.09375,0.08620689655172414
2022-10-27,4,1.0,2.0,5,0.03125,0.034482758620689655
2022-10-27,5,0.0,1.0,5,0.0,0.017241379310344827
2022-10-28,1,24.0,25.0,5,0.7058823529411765,0.5555555555555556
2022-10-28,2,9.0,10.0,5,0.2647058823529412,0.2222222222222222
2022-10-28,3,1.0,6.0,5,0.029411764705882353,0.13333333333333333
2022-10-28,4,0.0,3.0,5,0.0,0.06666666666666667
2022-10-28,5,0.0,1.0,5,0.0,0.022222222222222223
2022-10-29,1,37.0,27.0,5,0.8809523809523809,0.6136363636363636
2022-10-29,2,4.0,10.0,5,0.09523809523809523,0.22727272727272727
2022-10-29,3,1.0,3.0,5,0.023809523809523808,0.06818181818181818
2022-10-29,4,0.0,4.0,5,0.0,0.09090909090909091
2022-10-30,1,24.0,30.0,5,0.6857142857142857,0.6382978723404256
2022-10-30,2,8.0,12.0,5,0.22857142857142856,0.2553191489361702
2022-10-30,3,3.0,4.0,5,0.08571428571428572,0.0851063829787234
2022-10-30,5,0.0,1.0,5,0.0,0.02127659574468085
2022-10-31,1,22.0,26.0,5,0.6875,0.7878787878787878
2022-10-31,2,8.0,2.0,5,0.25,0.06060606060606061
2022-10-31,3,2.0,4.0,5,0.0625,0.12121212121212122
2022-10-31,4,0.0,1.0,5,0.0,0.030303030303030304
2022-11-01,1,35.0,28.0,5,0.6862745098039216,0.717948717948718
2022-11-01,2,12.0,7.0,5,0.23529411764705882,0.1794871794871795
2022-11-01,3,2.0,4.0,5,0.0392156862745098,0.10256410256410256
2022-11-01,4,2.0,0.0,5,0.0392156862745098,0.0
2022-11-02,1,42.0,34.0,5,0.7924528301886793,0.723404255319149
2022-11-02,2,4.0,11.0,5,0.07547169811320754,0.23404255319148937
2022-11-02,3,4.0,2.0,5,0.07547169811320754,0.0425531914893617
2022-11-02,4,1.0,0.0,5,0.018867924528301886,0.0
2022-11-02,5,2.0,0.0,5,0.03773584905660377,0.0
2022-11-03,1,51.0,40.0,5,0.75,0.6666666666666666
2022-11-03,2,13.0,18.0,5,0.19117647058823528,0.3
2022-11-03,3,3.0,2.0,5,0.04411764705882353,0.03333333333333333
2022-11-03,4,1.0,0.0,5,0.014705882352941176,0.0
2022-11-04,1,55.0,43.0,5,0.6707317073170732,0.7543859649122807
2022-11-04,2,18.0,9.0,5,0.21951219512195122,0.15789473684210525
2022-11-04,3,7.0,5.0,5,0.08536585365853659,0.08771929824561403
2022-11-04,4,2.0,0.0,5,0.024390243902439025,0.0
