pdate,menu_name,A,B
2022-11-03,萝卜炖牛腩,1.0,
2022-11-03,葱烧鲫鱼（减脂餐）,1.0,
2022-11-03,蒜蓉菜心,1.0,
2022-11-03,香草奶油蘑菇汤,1.0,
2022-11-03,香菇青菜,1.0,
2022-11-03,黑椒牛仔骨,1.0,
2022-11-02,油焖茄子,16.0,14.0
2022-11-02,酸辣土豆丝,4.0,8.0
2022-11-02,干锅花菜,3.0,8.0
2022-11-02,青椒炒蛋,3.0,8.0
2022-11-02,辣椒炒肉,8.0,7.0
2022-11-02,蚝油生菜,5.0,6.0
2022-11-02,虎皮青椒,2.0,5.0
2022-11-02,回锅肉,5.0,4.0
2022-11-02,蒜蓉菠菜,,4.0
2022-11-02,干锅包菜,6.0,3.0
2022-11-02,鱼香肉丝,1.0,3.0
2022-11-02,芹菜牛肉丝,4.0,2.0
2022-11-02,鱼香茄子,1.0,2.0
2022-11-02,西红柿炒蛋,,2.0
2022-11-02,金汤肥牛,,2.0
2022-11-02,水煮肉片,,1.0
2022-11-02,茄汁花菜,,1.0
2022-11-02,肉丝炒面,3.0,
2022-11-02,小炒黄牛肉,2.0,
2022-11-02,排骨炖土豆,2.0,
2022-11-02,板栗焖鸡块（滋补餐）,2.0,
2022-11-02,肉末茄子,2.0,
2022-11-02,蒜子烧鳝,2.0,
2022-11-02,蒜蓉菜心,2.0,
2022-11-02,蒜香蜜汁鸡腿,2.0,
2022-11-02,虾仁炒蛋,2.0,
2022-11-02,麻婆豆腐,2.0,
2022-11-02,松茸鸡汤（滋补餐）,1.0,
2022-11-02,水煮牛肉,1.0,
2022-11-02,清炒上海青,1.0,
2022-11-02,糖醋包菜,1.0,
2022-11-02,红烧肉,1.0,
2022-11-02,胡萝卜鸡蛋饼,1.0,
2022-11-02,辣炒鱿鱼,1.0,
2022-11-02,阳春面,1.0,
2022-11-02,青椒炒肉丝,1.0,
2022-11-01,酸辣土豆丝,4.0,9.0
2022-11-01,回锅肉,3.0,8.0
2022-11-01,虎皮青椒,2.0,8.0
2022-11-01,油焖茄子,8.0,7.0
2022-11-01,蚝油生菜,8.0,7.0
2022-11-01,辣椒炒肉,8.0,7.0
2022-11-01,青椒炒蛋,7.0,7.0
2022-11-01,干锅花菜,2.0,7.0
2022-11-01,芹菜牛肉丝,1.0,7.0
2022-11-01,干锅包菜,1.0,5.0
2022-11-01,麻婆豆腐,5.0,3.0
2022-11-01,水煮肉片,,3.0
2022-11-01,蒜蓉菠菜,,3.0
2022-11-01,鱼香肉丝,,3.0
2022-11-01,鱼香茄子,,3.0
2022-11-01,肉末茄子,10.0,
2022-11-01,糖醋包菜,7.0,
2022-11-01,排骨炖土豆,3.0,
2022-11-01,宫保鸡丁,2.0,
2022-11-01,蒜蓉菜心,2.0,
2022-11-01,蒜香蜜汁鸡腿,2.0,
2022-11-01,西红柿炒蛋,2.0,
2022-11-01,香菇青菜,2.0,
2022-11-01,原味虾仁西兰花,1.0,
2022-11-01,小炒黄牛肉,1.0,
2022-11-01,清炒荷兰豆,1.0,
2022-11-01,湘西外婆菜,1.0,
2022-11-01,牛肉锅贴,1.0,
2022-11-01,红烧肉,1.0,
2022-11-01,红烧鸡翅,1.0,
2022-11-01,菠萝炒饭,1.0,
2022-11-01,蒜香蒸茄（减脂餐）,1.0,
2022-11-01,虾仁炒蛋,1.0,
2022-11-01,西红柿蛋汤,1.0,
2022-11-01,酱爆土豆丝,1.0,
2022-11-01,酸辣白菜,1.0,
2022-10-31,辣椒炒肉,3.0,10.0
2022-10-31,油焖茄子,4.0,7.0
2022-10-31,青椒炒蛋,6.0,5.0
2022-10-31,酸辣土豆丝,3.0,5.0
2022-10-31,干锅花菜,1.0,5.0
2022-10-31,蚝油生菜,,4.0
2022-10-31,回锅肉,1.0,3.0
