pdate,专题名称,实验组曝光PV,对照组曝光PV,实验组曝光UV,对照组曝光UV
2022-10-29,精致浙菜,8.0,,6.0,
2022-10-29,雅致苏菜,6.0,,3.0,
2022-10-29,宝宝爱吃,1.0,,1.0,
2022-10-29,网红热门菜,1.0,,1.0,
2022-10-28,快手家常菜,516.0,709.0,267.0,359.0
2022-10-28,川渝风味,53.0,709.0,27.0,359.0
2022-10-28,简单不翻车,448.0,,230.0,
2022-10-28,素菜小炒,60.0,,35.0,
2022-10-28,肉食主义,37.0,,24.0,
2022-10-28,红烧滋味,29.0,,17.0,
2022-10-28,粤式风味,22.0,,11.0,
2022-10-28,西式料理,19.0,,12.0,
2022-10-28,鱼虾鲜味,17.0,,10.0,
2022-10-28,酸辣开胃,15.0,,10.0,
2022-10-28,爱吃土豆,14.0,,9.0,
2022-10-28,能量主食,14.0,,7.0,
2022-10-28,家常靓汤,13.0,,6.0,
2022-10-28,无辣不欢,8.0,,4.0,
2022-10-28,雅致苏菜,6.0,,4.0,
2022-10-28,精致浙菜,5.0,,4.0,
2022-10-28,下饭湘菜,4.0,,2.0,
2022-10-28,网红热门菜,3.0,,3.0,
2022-10-28,东南亚风味,2.0,,2.0,
2022-10-28,产后营养餐,2.0,,2.0,
2022-10-28,减脂轻食,2.0,,2.0,
2022-10-28,宝宝爱吃,2.0,,1.0,
2022-10-28,经典鲁菜,2.0,,1.0,
2022-10-28,徽州风味,1.0,,1.0,
2022-10-27,快手家常菜,608.0,744.0,281.0,365.0
2022-10-27,川渝风味,101.0,744.0,40.0,365.0
2022-10-27,简单不翻车,487.0,,243.0,
2022-10-27,素菜小炒,56.0,,28.0,
2022-10-27,肉食主义,43.0,,24.0,
2022-10-27,红烧滋味,31.0,,18.0,
2022-10-27,爱吃土豆,20.0,,8.0,
2022-10-27,鱼虾鲜味,20.0,,11.0,
2022-10-27,粤式风味,19.0,,12.0,
2022-10-27,西式料理,19.0,,13.0,
2022-10-27,无辣不欢,11.0,,8.0,
2022-10-27,酸辣开胃,11.0,,9.0,
2022-10-27,产后营养餐,8.0,,1.0,
2022-10-27,家常靓汤,8.0,,4.0,
2022-10-27,雅致苏菜,7.0,,3.0,
2022-10-27,下饭湘菜,6.0,,4.0,
2022-10-27,减脂轻食,4.0,,1.0,
2022-10-27,徽州风味,4.0,,1.0,
2022-10-27,能量主食,4.0,,4.0,
2022-10-27,东南亚风味,3.0,,1.0,
2022-10-27,经典鲁菜,3.0,,2.0,
2022-10-27,精致浙菜,1.0,,1.0,
2022-10-27,网红热门菜,1.0,,1.0,
2022-10-27,闽味飘香,1.0,,1.0,
2022-10-26,快手家常菜,661.0,837.0,302.0,386.0
2022-10-26,川渝风味,67.0,837.0,32.0,386.0
2022-10-26,简单不翻车,554.0,,251.0,
2022-10-26,素菜小炒,48.0,,29.0,
2022-10-26,红烧滋味,41.0,,22.0,
2022-10-26,西式料理,29.0,,16.0,
2022-10-26,粤式风味,27.0,,16.0,
2022-10-26,肉食主义,27.0,,18.0,
2022-10-26,下饭湘菜,15.0,,6.0,
2022-10-26,爱吃土豆,14.0,,7.0,
2022-10-26,鱼虾鲜味,14.0,,10.0,
2022-10-26,无辣不欢,13.0,,4.0,
2022-10-26,雅致苏菜,12.0,,7.0,
2022-10-26,家常靓汤,8.0,,6.0,
